link,link_flow
(118,664),1278.87
(119,665),1507.37
(120,666),3785.82
(121,667),1943.73
(122,668),4281.93
(123,669),1800.85
(124,670),2224.15
(125,671),507.29
(126,672),2137.82
(127,673),864.15
(128,674),3848.75
(129,675),2993.41
(130,676),5005.8
(131,677),3968.5
(132,678),5192.12
(133,679),3356.65
(134,680),5479.75
(135,681),6391.22
(136,682),2348.41
(137,683),1466.59
(138,684),1631.54
(139,685),1097.23
(140,686),5293.44
(141,687),5106.13
(142,688),4074.25
(143,689),3079.56
(144,690),7191.34
(145,691),6930.25
(146,692),6262.2
(147,693),6643.95
(148,694),4165.68
(149,695),1467.5
(150,696),1718.33
(151,697),2461.4
(152,698),4432.8
(153,699),5126.12
(154,700),4469.1
(155,701),4347.7
(156,702),5850.4
(157,703),6246.55
(158,704),4582.57
(159,705),5079.87
(160,706),1761.8
(161,707),642.7
(162,708),417.93
(163,709),2482.86
(164,710),461.78
(165,711),2412.98
(166,712),1155.62
(167,713),264.04
(168,714),559.09
(169,715),5259.08
(170,716),1094.69
(171,717),3031.33
(172,718),605.11
(173,719),331.34
(174,720),1238.69
(175,721),808.62
(176,722),420.73
(177,723),2566.03
(178,724),1755.87
(179,725),298.39
(180,726),646.97
(181,727),2277.01
(182,728),1200.82
(183,729),1465.93
(184,730),949.58
(185,731),465.52
(186,732),939.16
(187,733),3028.51
(188,734),3603.24
(189,735),4935.73
(190,736),3814.16
(191,737),1246.07
(192,738),153.9
(193,739),1290.23
(194,740),898.9
(195,741),726.61
(196,742),736.44
(197,743),2458.04
(198,744),2992.59
(199,745),2581.7
(200,746),1119.27
(201,747),1663.53
(202,748),1544.79
(203,749),1974.16
(204,750),2040.23
(205,751),708.4
(206,752),2007.85
(207,753),1498.44
(208,754),4461.61
(209,755),6121.12
(210,756),2102.28
(211,757),502.12
(212,758),126.52
(213,759),1431.55
(214,760),206.38
(215,761),1295.57
(216,762),1746.9
(217,763),1363.28
(218,764),4045.68
(219,765),4393.47
(220,766),2514.07
(221,767),2874.95
(222,768),857.32
(223,769),1427.07
(224,770),1073.85
(225,771),2127.05
(226,772),1039.26
(227,773),2222.68
(228,774),2353
(229,775),3012.15
(230,776),3206.53
(231,777),3918.54
(232,778),4034.17
(233,779),946.65
(234,780),242.1
(235,781),372.76
(236,782),818.47
(237,783),302.22
(238,784),536.33
(239,785),339.32
(240,786),1210.35
(241,787),365.56
(242,788),617.43
(243,789),1914.59
(244,790),907.96
(245,791),1198.45
(246,792),1054.25
(247,793),377.99
(248,794),2428.98
(249,795),614.46
(250,796),284.22
(251,797),661.43
(252,798),1412.14
(253,799),931.13
(254,800),303.36
(255,801),488.35
(256,802),1509.3
(257,803),1721.65
(258,804),3051.78
(259,805),1552.8
(260,806),1279.65
(261,807),1412.71
(262,808),952.35
(263,809),343.12
(264,810),127.68
(265,811),136.32
(266,812),3204.09
(267,813),1973.38
(268,814),1385.02
(269,815),1044.27
(270,816),470.37
(271,817),579.33
(272,818),1450.96
(273,819),198.1
(274,820),1335.31
(275,821),547.15
(276,822),1442.35
(277,823),1129.8
(278,824),1357.68
(279,825),677.39
(280,826),358.8
(281,827),200.75
(282,828),2015.68
(283,829),463.53
(284,830),666.98
(285,831),302.77
(286,832),3515.18
(287,833),5301.06
(288,834),1088.32
(289,835),854.68
(290,836),816.03
(291,837),725.78
(292,838),623.8
(293,839),686.65
(294,840),841.94
(295,841),1250.26
(296,842),914.27
(297,843),503.65
(298,844),916.1
(299,845),408.64
(300,846),517.52
(301,847),245.97
(302,848),1596.83
(303,849),655.43
(304,850),1378.39
(305,851),212.46
(306,852),339.77
(307,853),334.28
(308,854),934.64
(309,855),101.96
(310,856),105.75
(311,857),517.31
(312,858),223.82
(313,859),498.87
(314,860),85.96
(315,861),747.15
(316,862),181.85
(317,863),1006.29
(318,864),993.22
(319,865),2892.83
(320,866),391.81
(321,867),563.96
(322,868),150.39
(323,869),202.41
(324,870),104.28
(325,871),123.6
(326,872),61.68
(327,873),565.55
(328,874),664.71
(329,875),240.89
(330,876),1431.9
(331,877),893.26
(332,878),81.21
(333,879),176.12
(334,880),572.12
(335,881),57.25
(336,882),72.06
(337,883),332.98
(338,884),108.84
(339,885),595.99
(340,886),90.26
(341,887),283.7
(342,888),134.72
(343,889),143.51
(344,890),559.09
(345,891),2350.05
(346,892),336.22
(347,893),373.53
(348,894),147.2
(349,895),220.11
(350,896),1808.79
(351,897),635.16
(352,898),308.99
(353,899),244.47
(354,900),214.17
(355,901),13757.5
(356,902),11567.1
(357,903),4112.35
(358,904),5339.23
(359,905),4187.49
(360,906),951.47
(361,907),2617.38
(362,908),557.52
(363,909),512.17
(364,910),878.67
(365,911),187.5
(366,912),2492.67
(367,913),1177.93
(368,914),309.67
(369,915),606.67
(370,916),586.49
(371,917),637.18
(372,918),1254.53
(373,919),1520.75
(374,920),921.25
(375,921),5561.29
(376,922),1661
(377,923),189
(378,924),1280
(379,925),484
(380,926),1903
(381,927),1555
(382,928),724
(383,929),0
(384,930),157
(385,931),22
(386,932),5837
(387,389),1511.73
(387,390),1959.39
(387,707),218.122
(387,801),274.834
(388,389),199.314
(388,800),125.53
(388,913),269.472
(389,387),1446.31
(389,388),131.732
(389,924),1413
(390,387),1609.01
(390,391),2929.28
(390,708),627.125
(390,714),512.684
(391,390),1903.63
(391,392),4067.51
(391,712),1162.3
(391,716),666.491
(392,391),2867.62
(392,393),5411.73
(392,711),2370.06
(392,715),3076.63
(393,392),3294.57
(393,394),4822.35
(393,583),557.261
(393,600),657.2
(394,393),2715.1
(394,395),5655.26
(394,583),1094.91
(394,599),2190.18
(395,394),2522.03
(395,396),5655.26
(396,395),2522.03
(396,397),7099.91
(396,587),1777.23
(396,603),3874.99
(397,396),4889.62
(397,398),7040.59
(397,399),3420.76
(397,402),7353.44
(398,397),4426.72
(398,536),6236.01
(398,603),4013.69
(398,608),7860.69
(399,397),5306.16
(399,400),2201.18
(399,586),1220.63
(399,608),0
(400,399),4118.6
(400,401),0
(400,584),4248.71
(400,589),6725.63
(401,400),0
(402,397),5871.61
(402,403),7558.33
(402,605),1630.53
(402,610),2018.19
(403,402),6359.67
(403,404),8563.66
(403,674),1927.72
(403,679),7107.47
(404,403),7818.18
(404,405),2270.69
(404,487),6293.26
(405,404),3825.89
(405,406),3591.91
(405,676),2489.94
(405,681),3663.88
(406,405),4775.29
(406,407),5036.89
(406,686),3961.18
(406,691),6967.07
(407,406),5695.19
(407,408),2991.39
(407,688),1368.08
(407,693),3275.37
(408,407),3696.09
(408,409),3710.42
(408,537),4419.62
(408,538),7040.49
(409,408),5592.92
(409,410),3680.14
(409,689),1642.14
(409,699),3198.7
(410,409),4932.51
(410,411),3379.8
(410,684),3848.89
(410,694),3645.9
(411,410),4515.11
(411,412),3379.8
(412,411),4515.11
(412,413),2913.03
(412,729),2665.64
(412,733),3004.9
(413,412),4186.72
(413,414),545.733
(413,730),1275.58
(413,734),2842.53
(414,413),1155.92
(414,415),744.53
(414,726),386.746
(414,732),789.294
(415,414),1591.4
(415,416),681.46
(415,725),234.815
(415,731),76.7358
(416,415),1442.68
(416,731),240.35
(416,912),576.086
(416,925),371
(417,418),3703.31
(417,920),813.316
(417,921),1219.93
(417,922),1517
(418,417),1816.15
(418,419),4548.06
(418,738),330.427
(418,742),259.553
(419,418),2151.28
(419,420),4991.95
(419,750),1217.67
(419,751),1507.77
(420,419),2262.95
(420,421),5511.55
(420,752),2309.76
(420,753),1019.07
(421,420),2296.77
(421,422),6606.53
(421,761),1323.72
(421,765),1077.68
(422,421),3075.37
(422,423),6268.48
(422,763),1979.38
(422,766),849.254
(423,422),2998.11
(423,424),6464.77
(423,772),1084.3
(423,776),1097.77
(424,423),3159.12
(424,425),7076.94
(424,774),1760.93
(424,778),2708.58
(425,424),4406.62
(425,426),4324.73
(425,440),4915.15
(426,425),4041.01
(426,427),3641.82
(426,593),4743.38
(426,778),1756.9
(427,426),2645.34
(427,428),1953.66
(427,430),5855.28
(428,427),3519.03
(428,429),0
(428,592),1667.24
(428,777),2492.55
(429,428),0
(430,427),3293.44
(430,431),6699.98
(430,592),2699.06
(430,596),524.967
(431,430),5237.51
(431,432),6330.85
(431,594),1673.87
(431,598),3870.25
(432,431),5163.31
(432,433),6124.52
(432,615),4315.84
(432,616),1551.03
(433,432),5045.8
(433,434),5519.53
(433,617),1987.69
(433,618),7544.45
(434,433),5215.54
(434,435),6610.69
(434,551),5957.48
(434,553),3597.5
(435,434),6651.94
(435,436),7444.55
(435,495),14067.5
(436,435),7456.84
(436,437),6669.63
(436,553),5258.89
(436,555),2067.53
(437,436),6661.25
(437,438),4399.56
(437,534),4592.5
(437,535),6199.85
(437,539),5227.33
(438,437),5423.05
(438,439),5661.33
(438,613),4927.7
(438,614),6042.65
(439,438),6791.67
(439,440),4218.01
(439,611),2353.96
(439,612),2319.31
(440,425),2528.55
(440,439),5689.04
(440,590),4608.24
(440,595),8122.56
(441,442),666.57
(441,897),95.6065
(441,898),118.153
(441,928),653
(442,441),567.557
(442,443),963.266
(442,896),1037.72
(442,897),308.889
(443,442),860.916
(443,444),963.266
(444,443),860.916
(444,445),1399.89
(444,884),70.4845
(444,885),269.219
(445,444),900.485
(445,446),1687.31
(445,857),244.057
(445,858),67.22
(446,445),958.414
(446,447),2144.85
(446,847),262.502
(446,848),621.371
(447,446),1131.67
(447,448),3425.27
(447,663),2083.76
(447,664),1138.24
(448,447),2115.79
(448,449),3009.97
(448,661),628.898
(448,662),1361.32
(449,448),1628.49
(449,450),2845.83
(449,452),2698.85
(449,507),2539.12
(450,449),1519.87
(450,451),3909
(450,653),1390.61
(450,654),1937.88
(451,450),2312.71
(451,524),5369.26
(451,651),3393.03
(451,653),3260.73
(452,449),3073.37
(452,453),2238.32
(452,649),653.928
(452,840),568.32
(453,452),2466.39
(453,454),2876.03
(453,837),541.55
(453,839),722.131
(454,453),2885.6
(454,455),3204.48
(454,832),1033.35
(454,834),563.52
(455,454),3097.71
(455,456),2678.71
(455,833),2087.71
(455,835),883.015
(456,455),2868.32
(456,457),2234.99
(456,828),539.126
(456,830),1374.02
(457,456),2650.03
(457,458),2128.04
(457,466),2264.49
(457,467),3114.35
(458,457),3057.48
(458,459),2047.3
(458,831),226.928
(458,844),18.2879
(459,458),2886.97
(459,460),2009.17
(459,871),375.38
(459,874),476.439
(460,459),2597.33
(460,461),1742.01
(460,873),618
(460,876),466.88
(461,460),2055.65
(461,872),13.37
(461,875),180.008
(461,926),1569
(462,463),1555
(462,927),1728
(463,462),1728
(463,464),1596.41
(463,882),80.1722
(463,883),28.7494
(464,463),1746.32
(464,465),1888.35
(464,861),213.351
(464,880),356.019
(465,464),1849.05
(465,466),2187.97
(465,854),319.434
(465,861),344.9
(466,457),2619.49
(466,465),2011.19
(466,844),371.964
(466,854),333.097
(467,457),2244.97
(467,468),3049.77
(467,828),394.191
(467,829),264.743
(468,467),2112.59
(468,469),3576.37
(468,818),1308.67
(468,823),552.714
(469,468),2472.25
(469,470),3813.8
(469,816),329.193
(469,821),237.572
(470,469),2310.31
(470,471),4695.02
(470,814),602.133
(470,815),1179.53
(471,470),2602.81
(471,472),6418.87
(471,812),1412.63
(471,814),1743.94
(472,471),2911.71
(472,473),2791.46
(472,474),5316.92
(472,706),761.792
(472,812),731.713
(473,472),1499.54
(473,537),4368.94
(473,700),1051.4
(473,705),3922.03
(474,472),2354.89
(474,475),5317.68
(474,705),1551.87
(474,706),740.548
(475,474),2654.2
(475,476),5224.59
(475,704),2091.79
(475,706),863.742
(476,475),2840.92
(476,477),8018.62
(476,502),4815.47
(476,503),5834.69
(477,476),6457.41
(477,478),9256.88
(477,632),4054.69
(477,702),3643.37
(478,477),7227.38
(478,479),8029.22
(478,628),3019.64
(478,692),4488.45
(479,478),7509.97
(479,480),3446.67
(479,482),6655.28
(479,483),5905.3
(479,485),6911.82
(480,479),3385.45
(480,481),0
(480,482),3689.88
(480,690),6443.52
(481,480),0
(482,479),6691.31
(482,480),2996.84
(482,538),4872.18
(482,692),8710.67
(483,479),5609.06
(483,484),6381.36
(483,626),6780.31
(483,628),537.846
(484,483),6099
(484,488),7410.42
(484,625),8004.9
(484,627),4488.28
(485,479),6714.02
(485,534),9927.44
(485,626),7431.07
(485,690),3253.67
(486,487),4415.81
(486,534),6176.07
(486,680),4022.69
(486,681),2840.72
(487,404),3992.58
(487,486),6417.91
(487,679),2697.03
(487,681),2446.61
(488,484),7298.37
(488,489),7671
(488,629),1847.44
(488,630),1669.77
(489,488),6455.04
(489,490),8218.58
(489,556),3300.7
(489,630),3066.39
(490,489),6786.49
(490,491),9148.13
(490,557),4825.06
(490,558),8444.6
(491,490),8433.49
(491,492),5997.7
(491,560),4815.81
(491,561),9051.83
(492,491),4445.59
(492,493),8160.76
(492,496),7732.23
(492,561),9153.68
(492,563),17050.4
(493,492),8509.13
(493,494),10335.2
(493,560),4973.4
(493,562),10419.5
(494,493),12589.8
(494,495),10809.3
(494,550),3581.76
(494,559),5542.22
(495,435),14096.5
(495,494),11931.3
(495,552),5389.86
(495,555),4529.3
(496,492),9495.36
(496,497),7732.23
(497,496),9495.36
(497,498),4790.49
(497,532),6271.99
(498,497),5367.69
(498,499),5635.85
(498,566),10044.2
(498,568),6864.51
(499,498),7403.72
(499,500),5314.57
(499,565),5876.86
(499,569),4963.15
(500,499),6923.96
(500,501),3904.79
(500,570),2739.79
(500,635),6303.31
(501,500),5533.54
(501,502),4006.66
(501,631),2591.95
(501,633),1757.03
(502,476),3300.17
(502,501),6023.98
(502,503),2174.57
(502,632),4833.57
(503,476),6527.54
(503,502),6041.89
(503,504),5374.82
(503,634),5322.37
(504,503),7597.82
(504,505),5725.85
(504,633),5120.97
(504,638),2052.4
(505,504),8160.8
(505,506),4504.06
(505,638),1907.38
(505,643),4135.57
(506,505),5726.28
(506,507),3509.42
(506,577),0.957131
(506,645),2109.2
(507,449),2109.07
(507,506),4420.77
(507,508),5086.54
(508,507),5567.85
(508,509),6364.71
(508,658),4115.63
(508,666),1138.63
(509,508),6373.7
(509,510),5798.18
(509,657),3754.65
(509,665),661.245
(510,509),6067.51
(510,511),6212.45
(510,520),2588.4
(510,521),2494.39
(511,510),6351.86
(511,512),5558.7
(511,660),2089.57
(511,669),130.889
(512,511),6074.46
(512,513),4347.87
(512,901),3610.64
(512,904),1223.11
(513,512),4891.2
(513,514),3267.07
(513,902),2130.78
(513,904),662.126
(514,513),3615.71
(514,515),272.588
(514,533),2867.58
(514,543),699.929
(514,931),25
(515,514),324.047
(515,516),394.395
(515,902),2858.52
(515,905),1891.47
(516,515),999.878
(516,517),163.648
(516,907),480.314
(516,908),135.93
(517,516),358.24
(517,910),178.938
(517,911),68.97
(517,929),0
(518,519),0
(518,520),2542.04
(518,667),2575.89
(518,669),813.234
(519,518),0
(520,510),4390.88
(520,518),1504.03
(520,665),1243.85
(520,669),432.977
(521,510),821.817
(521,522),2494.39
(522,521),821.817
(522,529),6828.33
(522,544),4293.33
(523,524),2929.47
(523,544),4877.99
(523,577),2281.88
(523,646),3092.38
(524,451),3150.76
(524,523),5206.12
(524,651),1780.08
(524,656),2297.01
(525,526),3712.8
(525,527),6061.64
(525,540),2136.42
(525,545),2.3953
(526,525),3928.81
(526,541),31.3102
(526,542),3739.16
(526,545),1270.86
(527,525),4039.42
(527,528),3649.27
(527,572),2865.92
(527,574),5683.82
(528,527),4909.52
(528,529),3637.88
(528,530),10916.9
(529,522),3903.43
(529,528),7281.36
(529,574),4740.33
(529,576),2960.28
(530,528),8533.64
(530,531),9526.58
(530,572),1184.68
(530,573),2928.59
(531,530),8540.49
(531,532),8727.3
(531,568),4913.16
(531,573),1666.57
(532,497),7457.91
(532,531),7400.48
(532,567),4024.87
(532,568),1603.37
(533,514),2663.52
(533,542),3577.68
(533,932),5468
(534,437),6078.64
(534,485),10164.4
(534,486),4452.93
(535,437),7284.67
(535,536),4989.32
(535,614),1877.87
(536,398),4635.57
(536,535),6298.47
(536,607),2043.43
(536,609),9064.81
(537,408),7262.36
(537,473),2352.31
(537,698),6049.73
(537,703),4052.42
(538,408),3019.95
(538,482),6578.91
(538,693),7390.13
(538,703),1825.77
(539,437),1624.5
(539,582),7136.81
(539,621),1511.11
(540,525),2674.16
(540,581),1150.67
(540,901),985.752
(541,526),792.138
(541,901),5989.84
(541,902),3372.67
(542,526),4462.81
(542,533),3004.62
(542,902),746.243
(543,514),1204.17
(543,902),1695.21
(543,903),1990.04
(544,522),5545.66
(544,523),2706.27
(544,576),3361.53
(544,579),3786.03
(545,525),1270.86
(545,526),2.3953
(546,0),3529.15
(546,547),2070.33
(546,548),4589.79
(546,620),3569.63
(547,1),4984.04
(547,546),1640.46
(547,549),3576.41
(547,551),2360.47
(547,617),3977.41
(548,2),7826.03
(548,546),3837.2
(548,549),3759.07
(548,550),7767.12
(549,3),7976.31
(549,547),2841.83
(549,548),3537.21
(549,550),6018.96
(549,551),1757.61
(549,552),3029.68
(549,559),3159.31
(550,4),15357.1
(550,494),3276.95
(550,548),4966.9
(550,549),3997.55
(550,562),19523
(551,5),6888.67
(551,434),5676.4
(551,547),1799.96
(551,549),1602.78
(551,552),4618.63
(551,617),4206.79
(551,618),3094.52
(552,6),8530.26
(552,495),5387.2
(552,549),3091.27
(552,551),4876.15
(552,559),5173.07
(553,7),7431.62
(553,434),3533.34
(553,436),5150.22
(553,613),3391.2
(553,618),2752.26
(553,621),2338.72
(553,624),5157.6
(554,8),6540.09
(554,555),3407.65
(554,621),4731.41
(554,623),7216.43
(554,624),4855.63
(555,9),10542.2
(555,436),2196.87
(555,495),5682.88
(555,554),4879.29
(555,556),5891.31
(555,559),4886.08
(555,623),948.369
(556,10),8250.22
(556,489),2737.01
(556,555),6156.49
(556,557),5242.21
(556,558),4162.89
(556,623),1478.95
(556,629),4251.86
(557,11),6462.53
(557,490),3817.31
(557,556),3932.75
(557,559),5389.83
(557,560),5382.79
(558,12),10388
(558,490),8734.9
(558,556),3118.61
(558,561),3763.64
(558,565),3885.42
(558,630),1242.41
(559,13),12641.3
(559,494),6979.73
(559,549),2849.21
(559,552),4135.5
(559,555),4168.32
(559,557),5183.09
(559,560),6555.17
(560,14),9689.57
(560,491),7210.84
(560,493),7414.34
(560,557),2749.07
(560,559),3598.09
(561,15),22380.6
(561,491),7494.28
(561,492),7597.51
(561,558),1.55096
(561,562),0
(561,566),6995.79
(562,16),22236.6
(562,493),6072.25
(562,550),12529.8
(562,561),0
(562,563),18366.3
(563,17),17801.1
(563,492),14943
(563,562),20164
(563,564),11033.5
(564,18),5082.51
(564,563),19224.1
(564,567),8734.27
(564,568),671.695
(565,19),7120.37
(565,499),4840.61
(565,558),4632.75
(565,566),2749.17
(565,630),820.045
(566,20),4959.05
(566,498),6252.47
(566,561),12199.6
(566,565),1074.23
(567,21),4832.92
(567,532),4597.65
(567,564),15176.7
(567,573),4959.93
(568,22),15381.3
(568,498),9465.6
(568,531),2806.59
(568,532),889.692
(568,564),4877.78
(568,569),1528.57
(568,571),2402.86
(568,572),1467.95
(569,23),6881.59
(569,499),6157.87
(569,568),2130.18
(569,570),866.782
(569,571),2414.23
(570,24),6682.74
(570,500),5578.57
(570,569),1552.37
(570,571),3739.75
(570,630),2257.86
(570,631),2168.62
(570,633),811.99
(570,636),2215.16
(571,25),12527.6
(571,568),4103.85
(571,569),4395.64
(571,570),5093.98
(571,572),4607.02
(571,575),3644.43
(571,636),2233.02
(572,26),6312.42
(572,527),2272.9
(572,530),1538.3
(572,568),5865.7
(572,571),5791.29
(572,576),1873.46
(573,27),10392.2
(573,530),1177.83
(573,531),4113.88
(573,567),13437.2
(573,574),3701.23
(574,28),13164.2
(574,527),2994.37
(574,529),3225.82
(574,573),14566.9
(574,579),961.462
(574,580),3461.99
(575,29),4471.18
(575,571),6583.23
(575,576),1256.92
(575,577),1369.55
(575,636),2197.44
(575,642),2282.55
(576,30),4484.93
(576,529),5193.36
(576,544),2238.14
(576,572),5779.02
(576,575),1831.59
(576,577),2732.92
(577,31),5029.56
(577,506),171.107
(577,523),1493.7
(577,575),2329.57
(577,576),4968.92
(577,578),947.606
(577,579),1154.18
(577,642),5954.35
(577,644),1356.21
(578,32),3358.86
(578,577),1596.87
(578,579),3159.28
(578,581),1632.83
(578,646),2701.29
(578,655),1580.42
(579,33),4917.44
(579,544),3990.04
(579,574),3218.96
(579,577),1250.86
(579,578),1834.1
(579,580),180.701
(579,581),2190.41
(580,34),4029.96
(580,574),6449.15
(580,579),130.55
(580,581),1590.14
(581,35),6027.78
(581,540),661.522
(581,578),1419.26
(581,579),1930.87
(581,580),3411.5
(581,659),2434.91
(582,36),7136.81
(582,539),1148.81
(583,37),2425.38
(583,393),540.806
(583,394),1806.55
(583,585),1858.33
(583,587),2343.34
(583,604),473.96
(583,709),797.858
(583,711),410.426
(583,767),230.774
(583,807),45.5308
(584,38),4548
(584,400),7120.67
(584,585),1068.66
(584,586),4214.42
(584,770),1880.35
(585,39),1047.44
(585,583),1096.79
(585,584),2693.11
(585,587),2355.05
(585,771),1724.64
(586,40),11211.1
(586,399),1188.61
(586,584),1735.33
(586,587),421.303
(586,591),3417.14
(586,603),3252.31
(587,41),1350.81
(587,396),3913.38
(587,583),997.433
(587,585),1011.05
(587,586),1744.96
(588,42),6471.88
(588,589),2714.06
(588,590),5359.05
(588,593),1940.89
(588,774),896.247
(589,43),6938.15
(589,400),5771.09
(589,588),4471.78
(589,591),5214.53
(589,775),1325.37
(590,44),5349.17
(590,440),5677.05
(590,588),3788.18
(590,591),2745.66
(590,607),2673.24
(590,612),5265.04
(591,45),6643.03
(591,586),2192.86
(591,589),1731.34
(591,590),4660.75
(591,607),4051.8
(591,608),2025.79
(592,46),5051.92
(592,428),538.888
(592,430),1370.8
(592,593),2169.91
(592,594),2544.96
(593,47),6847.96
(593,426),2295.33
(593,588),1709.77
(593,592),2597.09
(593,595),2686.45
(594,48),3737.49
(594,431),1950.91
(594,592),1820.93
(594,595),2872.97
(594,611),620.346
(594,616),2018.7
(595,49),5346.46
(595,440),6138.18
(595,593),2304.35
(595,594),3575.13
(595,611),3301.32
(595,612),412.971
(596,50),934.1
(596,430),753.855
(596,598),823.445
(596,777),0
(597,51),2590.05
(597,598),1580.56
(597,615),936.436
(597,619),1956.29
(598,52),3683.05
(598,431),3298.28
(598,596),409.133
(598,597),2598.54
(598,615),810.438
(598,616),1484.51
(599,53),668.91
(599,394),2504.52
(599,600),813.462
(599,601),3275.75
(599,604),2531.76
(600,54),1209.84
(600,393),663.75
(600,599),1091.68
(600,602),944.531
(600,715),788.335
(601,55),2219.89
(601,599),3957.02
(601,602),1643.49
(601,606),2122.73
(601,670),2734.38
(602,56),1436.87
(602,600),476.617
(602,601),1993.88
(602,671),1724.06
(602,717),912.59
(603,57),9931.42
(603,396),815.91
(603,398),7305.19
(603,586),3783.21
(603,604),1896.43
(603,605),2640.56
(604,58),3733.02
(604,583),281.825
(604,599),1295.65
(604,603),4859.83
(604,606),476.423
(605,59),3521.2
(605,402),2590.36
(605,603),4409.4
(605,606),1872.07
(605,674),2914.36
(606,60),3311.49
(606,601),1510.36
(606,604),518.797
(606,605),4209.46
(606,675),595.032
(607,61),3584.99
(607,536),5502.83
(607,590),2456.41
(607,591),1826.48
(607,608),2634.23
(607,612),2776.91
(608,62),5998.59
(608,398),3555.75
(608,399),0
(608,591),1533.44
(608,607),3460.1
(608,610),2797.23
(609,63),16119.5
(609,536),5314.12
(609,610),2470.65
(609,614),6713.52
(609,678),5059.3
(610,64),3350.44
(610,402),775.185
(610,608),1105.48
(610,609),5994.87
(610,679),3669.6
(611,65),4453.03
(611,439),2321.35
(611,594),593.636
(611,595),2583.24
(611,613),3076.11
(611,616),4869.17
(612,66),4951.15
(612,439),2011.24
(612,590),2175.71
(612,595),55.1918
(612,607),1080.78
(612,614),6850.48
(613,67),6256.2
(613,438),4711.94
(613,553),3321.65
(613,611),2047.69
(613,618),3273.91
(613,621),2507.59
(614,68),9818.28
(614,438),6151.56
(614,535),1653.54
(614,609),6648.65
(614,612),2491.73
(614,621),4754.1
(615,69),3972.08
(615,432),4358.29
(615,597),924.73
(615,598),570.817
(615,617),4364.37
(615,619),1516.51
(616,70),5049.64
(616,432),1419.76
(616,594),1138.17
(616,598),773.549
(616,611),3379.87
(616,618),5831.86
(617,71),9363.15
(617,433),2695.44
(617,547),3107.25
(617,551),3618.48
(617,615),3858.58
(617,620),1344.43
(618,72),12063.9
(618,433),6061.98
(618,551),2871.54
(618,553),2208.73
(618,613),3277.29
(618,616),3689.5
(619,73),3697.97
(619,597),1498.78
(619,615),1305.09
(619,620),2844.78
(620,74),1766.45
(620,546),3292.11
(620,617),2154.42
(620,619),3231.1
(621,75),8948.25
(621,539),3896.28
(621,553),1752.9
(621,554),3214.03
(621,613),919.926
(621,614),3762.78
(621,622),3688.95
(621,624),742.522
(622,76),10913.2
(622,621),3998.57
(622,623),2361.18
(622,626),3096.43
(622,680),3916.84
(623,77),9450.82
(623,554),6937.12
(623,555),874.083
(623,556),1214.92
(623,622),2840.11
(623,625),5091.49
(624,78),4084.47
(624,553),4363
(624,554),5021.31
(624,621),1125.3
(625,79),10350.8
(625,484),6365.52
(625,623),7572.17
(625,626),4750.27
(625,629),4517.3
(626,80),10419.3
(626,483),4903.17
(626,485),5417.12
(626,622),4764.85
(626,625),4905.69
(627,81),6617.24
(627,484),5957.35
(627,628),2752.09
