link,link_flow
(118,664),1278.87
(119,665),1507.37
(120,666),3785.82
(121,667),1943.73
(122,668),4281.93
(123,669),1800.85
(124,670),2224.15
(125,671),507.29
(126,672),2137.82
(127,673),864.15
(128,674),3848.75
(129,675),2993.41
(130,676),5005.8
(131,677),3968.5
(132,678),5192.12
(133,679),3356.65
(134,680),5479.75
(135,681),6391.22
(136,682),2348.41
(137,683),1466.59
(138,684),1631.54
(139,685),1097.23
(140,686),5293.44
(141,687),5106.13
(142,688),4074.25
(143,689),3079.56
(144,690),7191.34
(145,691),6930.25
(146,692),6262.2
(147,693),6643.95
(148,694),4165.68
(149,695),1467.5
(150,696),1718.33
(151,697),2461.4
(152,698),4432.8
(153,699),5126.12
(154,700),4469.1
(155,701),4347.7
(156,702),5850.4
(157,703),6246.55
(158,704),4582.57
(159,705),5079.87
(160,706),1761.8
(161,707),642.7
(162,708),417.93
(163,709),2482.86
(164,710),461.78
(165,711),2412.98
(166,712),1155.62
(167,713),264.04
(168,714),559.09
(169,715),5259.08
(170,716),1094.69
(171,717),3031.33
(172,718),605.11
(173,719),331.34
(174,720),1238.69
(175,721),808.62
(176,722),420.73
(177,723),2566.03
(178,724),1755.87
(179,725),298.39
(180,726),646.97
(181,727),2277.01
(182,728),1200.82
(183,729),1465.93
(184,730),949.58
(185,731),465.52
(186,732),939.16
(187,733),3028.51
(188,734),3603.24
(189,735),4935.73
(190,736),3814.16
(191,737),1246.07
(192,738),153.9
(193,739),1290.23
(194,740),898.9
(195,741),726.61
(196,742),736.44
(197,743),2458.04
(198,744),2992.59
(199,745),2581.7
(200,746),1119.27
(201,747),1663.53
(202,748),1544.79
(203,749),1974.16
(204,750),2040.23
(205,751),708.4
(206,752),2007.85
(207,753),1498.44
(208,754),4461.61
(209,755),6121.12
(210,756),2102.28
(211,757),502.12
(212,758),126.52
(213,759),1431.55
(214,760),206.38
(215,761),1295.57
(216,762),1746.9
(217,763),1363.28
(218,764),4045.68
(219,765),4393.47
(220,766),2514.07
(221,767),2874.95
(222,768),857.32
(223,769),1427.07
(224,770),1073.85
(225,771),2127.05
(226,772),1039.26
(227,773),2222.68
(228,774),2353
(229,775),3012.15
(230,776),3206.53
(231,777),3918.54
(232,778),4034.17
(233,779),946.65
(234,780),242.1
(235,781),372.76
(236,782),818.47
(237,783),302.22
(238,784),536.33
(239,785),339.32
(240,786),1210.35
(241,787),365.56
(242,788),617.43
(243,789),1914.59
(244,790),907.96
(245,791),1198.45
(246,792),1054.25
(247,793),377.99
(248,794),2428.98
(249,795),614.46
(250,796),284.22
(251,797),661.43
(252,798),1412.14
(253,799),931.13
(254,800),303.36
(255,801),488.35
(256,802),1509.3
(257,803),1721.65
(258,804),3051.78
(259,805),1552.8
(260,806),1279.65
(261,807),1412.71
(262,808),952.35
(263,809),343.12
(264,810),127.68
(265,811),136.32
(266,812),3204.09
(267,813),1973.38
(268,814),1385.02
(269,815),1044.27
(270,816),470.37
(271,817),579.33
(272,818),1450.96
(273,819),198.1
(274,820),1335.31
(275,821),547.15
(276,822),1442.35
(277,823),1129.8
(278,824),1357.68
(279,825),677.39
(280,826),358.8
(281,827),200.75
(282,828),2015.68
(283,829),463.53
(284,830),666.98
(285,831),302.77
(286,832),3515.18
(287,833),5301.06
(288,834),1088.32
(289,835),854.68
(290,836),816.03
(291,837),725.78
(292,838),623.8
(293,839),686.65
(294,840),841.94
(295,841),1250.26
(296,842),914.27
(297,843),503.65
(298,844),916.1
(299,845),408.64
(300,846),517.52
(301,847),245.97
(302,848),1596.83
(303,849),655.43
(304,850),1378.39
(305,851),212.46
(306,852),339.77
(307,853),334.28
(308,854),934.64
(309,855),101.96
(310,856),105.75
(311,857),517.31
(312,858),223.82
(313,859),498.87
(314,860),85.96
(315,861),747.15
(316,862),181.85
(317,863),1006.29
(318,864),993.22
(319,865),2892.83
(320,866),391.81
(321,867),563.96
(322,868),150.39
(323,869),202.41
(324,870),104.28
(325,871),123.6
(326,872),61.68
(327,873),565.55
(328,874),664.71
(329,875),240.89
(330,876),1431.9
(331,877),893.26
(332,878),81.21
(333,879),176.12
(334,880),572.12
(335,881),57.25
(336,882),72.06
(337,883),332.98
(338,884),108.84
(339,885),595.99
(340,886),90.26
(341,887),283.7
(342,888),134.72
(343,889),143.51
(344,890),559.09
(345,891),2350.05
(346,892),336.22
(347,893),373.53
(348,894),147.2
(349,895),220.11
(350,896),1808.79
(351,897),635.16
(352,898),308.99
(353,899),244.47
(354,900),214.17
(355,901),13757.5
(356,902),11567.1
(357,903),4112.35
(358,904),5339.23
(359,905),4187.49
(360,906),951.47
(361,907),2617.38
(362,908),557.52
(363,909),512.17
(364,910),878.67
(365,911),187.5
(366,912),2492.67
(367,913),1177.93
(368,914),309.67
(369,915),606.67
(370,916),586.49
(371,917),637.18
(372,918),1254.53
(373,919),1520.75
(374,920),921.25
(375,921),5561.29
(376,922),1661
(377,923),189
(378,924),1280
(379,925),484
(380,926),1903
(381,927),1555
(382,928),724
(383,929),0
(384,930),157
(385,931),22
(386,932),5837
(387,389),1511.74
(387,390),1959.41
(387,707),218.123
(387,801),274.822
(388,389),199.329
(388,800),125.53
(388,913),269.476
(389,387),1446.33
(389,388),131.736
(389,924),1413
(390,387),1609
(390,391),2929.9
(390,708),627.116
(390,714),512.687
(391,390),1903.63
(391,392),4065
(391,712),1162.02
(391,716),666.655
(392,391),2867.71
(392,393),5413.21
(392,711),2373.3
(392,715),3072.59
(393,392),3296.77
(393,394),4826.06
(393,583),554.919
(393,600),658.654
(394,393),2716.67
(394,395),5654.95
(394,583),1092.55
(394,599),2188.8
(395,394),2522.84
(395,396),5654.95
(396,395),2522.84
(396,397),7102.44
(396,587),1777.88
(396,603),3874.67
(397,396),4889.16
(397,398),7038.76
(397,399),3417.97
(397,402),7363.9
(398,397),4424.6
(398,536),6226.98
(398,603),4010.14
(398,608),7858.28
(399,397),5305.33
(399,400),2201.53
(399,586),1217.63
(399,608),0
(400,399),4113.39
(400,401),0
(400,584),4246.7
(400,589),6723.74
(401,400),0
(402,397),5877.42
(402,403),7559.73
(402,605),1630.98
(402,610),2023.59
(403,402),6362.99
(403,404),8565.87
(403,674),1925.61
(403,679),7107.43
(404,403),7821.87
(404,405),2272.25
(404,487),6293.89
(405,404),3825.62
(405,406),3590.71
(405,676),2492.22
(405,681),3662.03
(406,405),4769.96
(406,407),5055.55
(406,686),3963.69
(406,691),6954.12
(407,406),5690.09
(407,408),2990.22
(407,688),1367.42
(407,693),3289.57
(408,407),3692.58
(408,409),3718.69
(408,537),4411.31
(408,538),7043.2
(409,408),5594.94
(409,410),3679.16
(409,689),1641.84
(409,699),3204.93
(410,409),4927.5
(410,411),3378.85
(410,684),3848.88
(410,694),3646.85
(411,410),4516.86
(411,412),3378.85
(412,411),4516.86
(412,413),2912.91
(412,729),2665.15
(412,733),3004.1
(413,412),4189.76
(413,414),545.772
(413,730),1275.59
(413,734),2842.65
(414,413),1155.94
(414,415),744.568
(414,726),386.76
(414,732),789.345
(415,414),1591.42
(415,416),681.498
(415,725),234.826
(415,731),76.7416
(416,415),1442.71
(416,731),240.35
(416,912),576.053
(416,925),371
(417,418),3705.22
(417,920),812.93
(417,921),1219.82
(417,922),1517
(418,417),1816.19
(418,419),4549.53
(418,738),330.409
(418,742),259.65
(419,418),2151.35
(419,420),4991.93
(419,750),1218.82
(419,751),1509.62
(420,419),2263.14
(420,421),5517.04
(420,752),2309.9
(420,753),1019.77
(421,420),2295.79
(421,422),6596.33
(421,761),1324.16
(421,765),1078.22
(422,421),3073.8
(422,423),6271.49
(422,763),1969.77
(422,766),849.535
(423,422),2993.69
(423,424),6461.58
(423,772),1089.68
(423,776),1097.83
(424,423),3157.78
(424,425),7073.55
(424,774),1759.75
(424,778),2708.93
(425,424),4407.48
(425,426),4324.16
(425,440),4913.43
(426,425),4041.92
(426,427),3642.08
(426,593),4743.26
(426,778),1757.29
(427,426),2645.33
(427,428),1954.37
(427,430),5856.35
(428,427),3520.1
(428,429),0
(428,592),1666.02
(428,777),2492.58
(429,428),0
(430,427),3293.87
(430,431),6702.05
(430,592),2699.09
(430,596),524.984
(431,430),5237.84
(431,432),6331.34
(431,594),1677.56
(431,598),3869.25
(432,431),5165.31
(432,433),6124.68
(432,615),4315.95
(432,616),1549.6
(433,432),5045.48
(433,434),5519.82
(433,617),1987.46
(433,618),7542.3
(434,433),5215.23
(434,435),6612.9
(434,551),5946.63
(434,553),3601.01
(435,434),6639.24
(435,436),7444.62
(435,495),14069.6
(436,435),7456.69
(436,437),6669.95
(436,553),5260.55
(436,555),2068.93
(437,436),6661.25
(437,438),4402.1
(437,534),4592.33
(437,535),6197.41
(437,539),5231.67
(438,437),5423.95
(438,439),5658.92
(438,613),4927.63
(438,614),6046.01
(439,438),6794.29
(439,440),4213.05
(439,611),2353.92
(439,612),2323.96
(440,425),2529.61
(440,439),5689.8
(440,590),4608.59
(440,595),8119.51
(441,442),666.63
(441,897),95.5884
(441,898),118.177
(441,928),653
(442,441),567.519
(442,443),963.239
(442,896),1037.76
(442,897),308.892
(443,442),860.873
(443,444),963.239
(444,443),860.873
(444,445),1399.9
(444,884),70.4473
(444,885),269.218
(445,444),900.444
(445,446),1687.36
(445,857),244.165
(445,858),67.22
(446,445),958.511
(446,447),2144.49
(446,847),262.499
(446,848),621.464
(447,446),1131.76
(447,448),3425.11
(447,663),2084.06
(447,664),1138.23
(448,447),2116.15
(448,449),3010.44
(448,661),628.939
(448,662),1360.96
(449,448),1628.25
(449,450),2846.17
(449,452),2698.67
(449,507),2538.67
(450,449),1518.78
(450,451),3908.82
(450,653),1390.67
(450,654),1937.68
(451,450),2312.47
(451,524),5368.94
(451,651),3393.5
(451,653),3259.89
(452,449),3073.58
(452,453),2238.09
(452,649),654.15
(452,840),568.37
(453,452),2466.63
(453,454),2876.7
(453,837),541.541
(453,839),721.053
(454,453),2883.98
(454,455),3204.08
(454,832),1033.19
(454,834),564.577
(455,454),3097.92
(455,456),2678.72
(455,833),2087.64
(455,835),882.992
(456,455),2868.46
(456,457),2235.03
(456,828),539.057
(456,830),1374.03
(457,456),2650.16
(457,458),2128.04
(457,466),2264.57
(457,467),3114.28
(458,457),3057.49
(458,459),2047.3
(458,831),226.928
(458,844),18.2862
(459,458),2886.97
(459,460),2009.17
(459,871),375.375
(459,874),476.438
(460,459),2597.33
(460,461),1742.01
(460,873),618
(460,876),466.88
(461,460),2055.65
(461,872),13.37
(461,875),180.008
(461,926),1569
(462,463),1555
(462,927),1728
(463,462),1728
(463,464),1596.41
(463,882),80.1717
(463,883),28.7494
(464,463),1746.32
(464,465),1888.35
(464,861),213.351
(464,880),356.021
(465,464),1849.05
(465,466),2187.96
(465,854),319.427
(465,861),344.98
(466,457),2619.49
(466,465),2011.27
(466,844),371.952
(466,854),333.097
(467,457),2245.03
(467,468),3049.7
(467,828),394.188
(467,829),264.743
(468,467),2112.67
(468,469),3576.43
(468,818),1308.52
(468,823),553.357
(469,468),2473.08
(469,470),3813.76
(469,816),329.343
(469,821),237.575
(470,469),2310.39
(470,471),4694.96
(470,814),601.768
(470,815),1180.16
(471,470),2603.22
(471,472),6418.57
(471,812),1412.48
(471,814),1744.04
(472,471),2912.13
(472,473),2794.81
(472,474),5316.18
(472,706),766.909
(472,812),731.704
(473,472),1504.83
(473,537),4370.11
(473,700),1051.53
(473,705),3916.64
(474,472),2355.13
(474,475),5317.05
(474,705),1548.55
(474,706),735.535
(475,474),2654.38
(475,476),5224.89
(475,704),2090.99
(475,706),863.735
(476,475),2841.09
(476,477),8014.47
(476,502),4821.71
(476,503),5834.63
(477,476),6460.29
(477,478),9266.9
(477,632),4050.54
(477,702),3650.79
(478,477),7233.75
(478,479),8044.22
(478,628),3019.89
(478,692),4488.5
(479,478),7518.94
(479,480),3446.64
(479,482),6647.94
(479,483),5889.53
(479,485),6926.18
(480,479),3381.94
(480,481),0
(480,482),3677.29
(480,690),6442.31
(481,480),0
(482,479),6679.86
(482,480),2995.67
(482,538),4864.44
(482,692),8701.82
(483,479),5594.97
(483,484),6383.2
(483,626),6763.74
(483,628),537.932
(484,483),6092.57
(484,488),7408.89
(484,625),8003.83
(484,627),4494.11
(485,479),6728.24
(485,534),9928.11
(485,626),7446.37
(485,690),3253.23
(486,487),4415.82
(486,534),6176.79
(486,680),4025.2
(486,681),2840.66
(487,404),3996.51
(487,486),6420.72
(487,679),2692.88
(487,681),2444.61
(488,484),7296.13
(488,489),7675.67
(488,629),1847.29
(488,630),1663.59
(489,488),6452.02
(489,490),8218.78
(489,556),3300.22
(489,630),3064.4
(490,489),6781.82
(490,491),9142.56
(490,557),4826.86
(490,558),8451.22
(491,490),8427.05
(491,492),6000.87
(491,560),4817.33
(491,561),9048.47
(492,491),4445.59
(492,493),8151.26
(492,496),7724.05
(492,561),9159.87
(492,563),17046.5
(493,492),8493.44
(493,494),10325.4
(493,560),4971.87
(493,562),10439.6
(494,493),12584.6
(494,495),10810.2
(494,550),3583.93
(494,559),5546.62
(495,435),14083.9
(495,494),11929.6
(495,552),5402.61
(495,555),4531.03
(496,492),9542.48
(496,497),7724.05
(497,496),9542.48
(497,498),4787.2
(497,532),6273.57
(498,497),5375.21
(498,499),5630.23
(498,566),10045.8
(498,568),6829.27
(499,498),7398.8
(499,500),5308.39
(499,565),5875.43
(499,569),4984.86
(500,499),6925.85
(500,501),3900.81
(500,570),2754.96
(500,635),6285.09
(501,500),5535.16
(501,502),4004.77
(501,631),2582.16
(501,633),1758.92
(502,476),3297.94
(502,501),6018.91
(502,503),2175.67
(502,632),4844.92
(503,476),6528.78
(503,502),6041.94
(503,504),5376.81
(503,634),5321.67
(504,503),7600.78
(504,505),5727.09
(504,633),5121.38
(504,638),2052.96
(505,504),8160.3
(505,506),4505.02
(505,638),1908.85
(505,643),4130.28
(506,505),5727.96
(506,507),3508.64
(506,577),1.17527
(506,645),2105.72
(507,449),2108.97
(507,506),4422.07
(507,508),5085.77
(508,507),5569.5
(508,509),6363.93
(508,658),4123.79
(508,666),1138.67
(509,508),6383.31
(509,510),5790.86
(509,657),3761.05
(509,665),661.097
(510,509),6063.04
(510,511),6203.75
(510,520),2588.48
(510,521),2496.83
(511,510),6351.18
(511,512),5542.96
(511,660),2096.59
(511,669),130.885
(512,511),6070.84
(512,513),4349.42
(512,901),3594.12
(512,904),1223.12
(513,512),4891.22
(513,514),3268.34
(513,902),2131.07
(513,904),662.103
(514,513),3616.27
(514,515),272.461
(514,533),2867.53
(514,543),699.928
(514,931),25
(515,514),323.578
(515,516),394.379
(515,902),2858.63
(515,905),1891.47
(516,515),999.524
(516,517),163.632
(516,907),480.312
(516,908),135.93
(517,516),358.24
(517,910),178.922
(517,911),68.97
(517,929),0
(518,519),0
(518,520),2539.13
(518,667),2576.12
(518,669),815.335
(519,518),0
(520,510),4388.08
(520,518),1504.09
(520,665),1244.01
(520,669),432.971
(521,510),821.976
(521,522),2496.83
(522,521),821.976
(522,529),6827.56
(522,544),4289.6
(523,524),2928.88
(523,544),4881.28
(523,577),2283.47
(523,646),3097.51
(524,451),3150.41
(524,523),5197.63
(524,651),1780.05
(524,656),2297.03
(525,526),3710.9
(525,527),6061.15
(525,540),2135.78
(525,545),3.21287
(526,525),3955.2
(526,541),32.6589
(526,542),3738.12
(526,545),1244.48
(527,525),4038.34
(527,528),3663.87
(527,572),2865.24
(527,574),5677.82
(528,527),4916.07
(528,529),3637.05
(528,530),10917
(529,522),3903.32
(529,528),7270.45
(529,574),4745.04
(529,576),2959.57
(530,528),8535.78
(530,531),9531.55
(530,572),1184.44
(530,573),2938.34
(531,530),8542.95
(531,532),8742.14
(531,568),4896.96
(531,573),1683.07
(532,497),7503.98
(532,531),7419.72
(532,567),4009.66
(532,568),1626.15
(533,514),2663.13
(533,542),3576.65
(533,932),5468
(534,437),6078.11
(534,485),10165.9
(534,486),4453.21
(535,437),7287.16
(535,536),4987.62
(535,614),1877.04
(536,398),4634.65
(536,535),6302.39
(536,607),2043.13
(536,609),9052.41
(537,408),7260.5
(537,473),2352.58
(537,698),6041.19
(537,703),4053.04
(538,408),3020.12
(538,482),6579.6
(538,693),7377.9
(538,703),1825.61
(539,437),1625.6
(539,582),7136.81
(539,621),1515.67
(540,525),2673.03
(540,581),1149.99
(540,901),985.794
(541,526),797.619
(541,901),5989.51
(541,902),3372.17
(542,526),4458.72
(542,533),3003.26
(542,902),747.135
(543,514),1204.14
(543,902),1695.23
(543,903),1990.04
(544,522),5538.98
(544,523),2710.8
(544,576),3366.21
(544,579),3783.92
(545,525),1244.48
(545,526),3.21287
(546,0),3529.15
(546,547),2072.55
(546,548),4590.26
(546,620),3567.28
(547,1),4984.04
(547,546),1635.01
(547,549),3575.69
(547,551),2360.5
(547,617),3981.31
(548,2),7826.03
(548,546),3837.13
(548,549),3759.45
(548,550),7767.17
(549,3),7976.31
(549,547),2843.44
(549,548),3537.2
(549,550),6017.99
(549,551),1755.31
(549,552),3018.61
(549,559),3157.77
(550,4),15357.1
(550,494),3289.44
(550,548),4966.81
(550,549),3991.27
(550,562),19524.8
(551,5),6888.67
(551,434),5680.82
(551,547),1799.89
(551,549),1603.2
(551,552),4616.64
(551,617),4205.84
(551,618),3092.91
(552,6),8530.26
(552,495),5394.86
(552,549),3087.29
(552,551),4889.15
(552,559),5168.67
(553,7),7431.62
(553,434),3535.89
(553,436),5150.56
(553,613),3395.63
(553,618),2749.81
(553,621),2337.97
(553,624),5156.46
(554,8),6540.09
(554,555),3392.85
(554,621),4732.25
(554,623),7204.9
(554,624),4853.15
(555,9),10542.2
(555,436),2199.68
(555,495),5672.5
(555,554),4866.96
(555,556),5893.13
(555,559),4894.38
(555,623),954.764
(556,10),8250.22
(556,489),2736.97
(556,555),6163.81
(556,557),5245.56
(556,558),4157.01
(556,623),1480.58
(556,629),4255.8
(557,11),6462.53
(557,490),3820.82
(557,556),3932.98
(557,559),5388.64
(557,560),5394.38
(558,12),10388
(558,490),8735.79
(558,556),3120.66
(558,561),3757.32
(558,565),3878.55
(558,630),1249.35
(559,13),12641.3
(559,494),6980.83
(559,549),2845.11
(559,552),4148.1
(559,555),4166.2
(559,557),5182.25
(559,560),6559.51
(560,14),9689.57
(560,491),7203.47
(560,493),7422.4
(560,557),2758.91
(560,559),3603.48
(561,15),22380.6
(561,491),7502.12
(561,492),7584.93
(561,558),1.48339
(561,562),4.22527
(561,566),6995.69
(562,16),22236.6
(562,493),6072.15
(562,550),12536.6
(562,561),0
(562,563),18385.2
(563,17),17801.1
(563,492),14905.6
(563,562),20163.3
(563,564),11042.8
(564,18),5082.51
(564,563),19180.3
(564,567),8751.15
(564,568),662.664
(565,19),7120.37
(565,499),4860.02
(565,558),4626.64
(565,566),2721.53
(565,630),824.438
(566,20),4959.05
(566,498),6223.6
(566,561),12202.4
(566,565),1074.14
(567,21),4832.92
(567,532),4652.59
(567,564),15154.6
(567,573),4937.68
(568,22),15381.3
(568,498),9470.91
(568,531),2806.3
(568,532),891.205
(568,564),4854.64
(568,569),1530.06
(568,571),2410.68
(568,572),1467.71
(569,23),6881.59
(569,499),6151.38
(569,568),2157.73
(569,570),867.137
(569,571),2407
(570,24),6682.74
(570,500),5560.1
(570,569),1553.27
(570,571),3742.41
(570,630),2268.34
(570,631),2176.59
(570,633),813.989
(570,636),2210.68
(571,25),12527.6
(571,568),4108.77
(571,569),4385.73
(571,570),5092.18
(571,572),4615.32
(571,575),3644.1
(571,636),2234.67
(572,26),6312.42
(572,527),2276.13
(572,530),1552.92
(572,568),5863.4
(572,571),5786.33
(572,576),1873.94
(573,27),10392.2
(573,530),1177.27
(573,531),4107.54
(573,567),13446.1
(573,574),3695.94
(574,28),13164.2
(574,527),2991.92
(574,529),3225.84
(574,573),14559.6
(574,579),961.409
(574,580),3461.95
(575,29),4471.18
(575,571),6588.85
(575,576),1254.85
(575,577),1369.38
(575,636),2192.43
(575,642),2282.93
(576,30),4484.93
(576,529),5187.92
(576,544),2238.12
(576,572),5782.94
(576,575),1830.57
(576,577),2732.71
(577,31),5029.56
(577,506),165.804
(577,523),1493.55
(577,575),2326.02
(577,576),4963.75
(577,578),947.751
(577,579),1154.13
(577,642),5960.49
(577,644),1361.37
(578,32),3358.86
(578,577),1597.14
(578,579),3159.19
(578,581),1632.83
(578,646),2696.45
(578,655),1580.34
(579,33),4917.44
(579,544),3990.91
(579,574),3221.61
(579,577),1251.48
(579,578),1829.15
(579,580),180.703
(579,581),2190.45
(580,34),4029.96
(580,574),6443.27
(580,579),130.55
(580,581),1590.12
(581,35),6027.78
(581,540),661.57
(581,578),1419.45
(581,579),1932.4
(581,580),3405.63
(581,659),2434.9
(582,36),7136.81
(582,539),1148.81
(583,37),2425.38
(583,393),542.742
(583,394),1798
(583,585),1859.02
(583,587),2347.16
(583,604),473.882
(583,709),797.497
(583,711),410.423
(583,767),230.785
(583,807),45.5308
(584,38),4548
(584,400),7118.95
(584,585),1065.52
(584,586),4227.31
(584,770),1882.41
(585,39),1047.44
(585,583),1095.98
(585,584),2697.75
(585,587),2346.36
(585,771),1723.36
(586,40),11211.1
(586,399),1193.14
(586,584),1731.85
(586,587),421.299
(586,591),3430.7
(586,603),3245.39
(587,41),1350.81
(587,396),3917.5
(587,583),996.877
(587,585),1011.28
(587,586),1736.93
(588,42),6471.88
(588,589),2713.01
(588,590),5344.86
(588,593),1942.12
(588,774),895.745
(589,43),6938.15
(589,400),5763.34
(589,588),4456.7
(589,591),5227.73
(589,775),1324.76
(590,44),5349.17
(590,440),5676.96
(590,588),3790.61
(590,591),2745.99
(590,607),2674.91
(590,612),5266.85
(591,45),6643.03
(591,586),2196.02
(591,589),1731.81
(591,590),4679.91
(591,607),4057.31
(591,608),2026.21
(592,46),5051.92
(592,428),538.213
(592,430),1371.97
(592,593),2167.93
(592,594),2542.78
(593,47),6847.96
(593,426),2295.76
(593,588),1708.7
(593,592),2595.21
(593,595),2687.78
(594,48),3737.49
(594,431),1949.29
(594,592),1820.32
(594,595),2880.34
(594,611),620.32
(594,616),2019.83
(595,49),5346.46
(595,440),6144.06
(595,593),2304.03
(595,594),3579.3
(595,611),3300.88
(595,612),409.798
(596,50),934.1
(596,430),753.838
(596,598),823.462
(596,777),0
(597,51),2590.05
(597,598),1582.56
(597,615),934.396
(597,619),1956.64
(598,52),3683.05
(598,431),3299.35
(598,596),409.116
(598,597),2598.9
(598,615),810.475
(598,616),1485.12
(599,53),668.91
(599,394),2506.08
(599,600),814.207
(599,601),3272.92
(599,604),2531.35
(600,54),1209.84
(600,393),663.777
(600,599),1091.52
(600,602),949.821
(600,715),788.327
(601,55),2219.89
(601,599),3957.94
(601,602),1641.34
(601,606),2125.6
(601,670),2733.88
(602,56),1436.87
(602,600),477.07
(602,601),1997.64
(602,671),1723.19
(602,717),912.161
(603,57),9931.42
(603,396),816.218
(603,398),7292.84
(603,586),3785.86
(603,604),1896.17
(603,605),2640.44
(604,58),3733.02
(604,583),281.807
(604,599),1295.32
(604,603),4859.26
(604,606),476.097
(605,59),3521.2
(605,402),2588.85
(605,603),4411
(605,606),1872.13
(605,674),2917.59
(606,60),3311.49
(606,601),1510.42
(606,604),518.307
(606,605),4212.54
(606,675),595.023
(607,61),3584.99
(607,536),5509.52
(607,590),2456.76
(607,591),1828.12
(607,608),2635.33
(607,612),2775.19
(608,62),5998.59
(608,398),3553.74
(608,399),0
(608,591),1533.43
(608,607),3461.96
(608,610),2793.83
(609,63),16119.5
(609,536),5308.47
(609,610),2469.11
(609,614),6710.76
(609,678),5054.19
(610,64),3350.44
(610,402),775.984
(610,608),1102.81
(610,609),5992.46
(610,679),3670.83
(611,65),4453.03
(611,439),2321
(611,594),592.943
(611,595),2577.2
(611,613),3075.58
(611,616),4867.05
(612,66),4951.15
(612,439),2015.51
(612,590),2176.17
(612,595),61.6972
(612,607),1080.09
(612,614),6846.61
(613,67),6256.2
(613,438),4713.8
(613,553),3323.41
(613,611),2044.05
(613,618),3273.7
(613,621),2510.03
(614,68),9818.28
(614,438),6146.32
(614,535),1652.02
(614,609),6650.25
(614,612),2496.83
(614,621),4748.02
(615,69),3972.08
(615,432),4356.2
(615,597),924.731
(615,598),571.267
(615,617),4364.65
(615,619),1515.41
(616,70),5049.64
(616,432),1422.52
(616,594),1139.44
(616,598),774.128
(616,611),3374.28
(616,618),5831.58
(617,71),9363.15
(617,433),2693.02
(617,547),3101.27
(617,551),3621.53
(617,615),3858.04
(617,620),1351.09
(618,72),12063.9
(618,433),6062.12
(618,551),2868.8
(618,553),2207.78
(618,613),3273.57
(618,616),3690.06
(619,73),3697.97
(619,597),1498.74
(619,615),1305.07
(619,620),2844.97
(620,74),1766.45
(620,546),3297.96
(620,617),2152.19
(620,619),3231.98
(621,75),8948.25
(621,539),3897.6
(621,553),1751.28
(621,554),3212.59
(621,613),922.042
(621,614),3760.74
(621,622),3692.68
(621,624),742.607
(622,76),10913.2
(622,621),3999.61
(622,623),2360.83
(622,626),3098.13
(622,680),3915.82
(623,77),9450.82
(623,554),6925.17
(623,555),877.158
(623,556),1210.3
(623,622),2840.42
(623,625),5091.97
(624,78),4084.47
(624,553),4361.61
(624,554),5019.07
(624,621),1125.39
(625,79),10350.8
(625,484),6370.11
(625,623),7563.33
(625,626),4748.72
(625,629),4527.84
(626,80),10419.3
(626,483),4892.08
(626,485),5426.59
(626,622),4763.03
(626,625),4908.01
(627,81),6617.24
(627,484),5949.97
(627,628),2756.61
